Fecha,Nemotécnico,Precios (último /cierre),Variación porcentual,Volúmenes,Cantidad,Variación absoluta,Precio apertura,Precio máximo,Precio mínimo,Precio promedio,Emisor / nombre,Tipo  Activo
2026-01-19,CELSIA,5080.0,0.4,737046200.0,145935.0,20,,5080.0,5010.0,5050.51,,
2026-01-20,CELSIA,5090.0,0.2,2314457060.0,456442.0,10,,5090.0,5040.0,5070.65,,
2026-01-21,CELSIA,5090.0,0,1831163310.0,361211.0,0,,5090.0,5050.0,5069.51,,
2026-01-22,CELSIA,5080.0,-0.2,1208255630.0,238009.0,-10,,5100.0,5060.0,5076.51,,
2026-01-23,CELSIA,5090.0,0.2,2300578260.0,451808.0,10,,5100.0,5060.0,5091.94,,
2026-01-26,CELSIA,5080.0,-0.2,2383595110.0,469439.0,-10,,5090.0,5050.0,5077.54,,
2026-01-27,CELSIA,5100.0,0.39,2548625240.0,500619.0,20,,5100.0,5070.0,5090.95,,
2026-01-28,CELSIA,5240.0,2.75,6734157030.0,1314315.0,140,,5240.0,5090.0,5123.7,,
2026-01-29,CELSIA,5250.0,0.19,1594907890.0,304755.0,10,,5250.0,5160.0,5233.41,,
2026-01-30,CELSIA,5260.0,0.19,1252073840.0,238960.0,10,,5270.0,5200.0,5239.68,,
2026-02-02,CELSIA,5120.0,-2.66,1811361520.0,348805.0,-140,,5230.0,5110.0,5193.05,,
2026-02-03,CELSIA,5100.0,-0.39,901289670.0,176930.0,-20,,5190.0,5050.0,5094.05,,
2026-02-04,CELSIA,4970.0,-2.55,1374303650.0,274332.0,-130,,5060.0,4950.0,5009.64,,
2026-02-05,CELSIA,5040.0,1.41,1103635305.0,220814.0,70,,5040.0,4950.0,4998.03,,
2026-02-06,CELSIA,4960.0,-1.59,430661945.0,85923.0,-80,,5030.0,4950.0,5012.18,,
2026-02-09,CELSIA,4960.0,0,2091973280.0,425878.0,0,,5000.0,4870.0,4912.14,,
2026-02-10,CELSIA,4980.0,0.4,401800695.0,80854.0,20,,4980.0,4960.0,4969.46,,
2026-02-11,CELSIA,4850.0,-2.61,1678938645.0,343945.0,-130,,4940.0,4850.0,4881.42,,
2026-02-12,CELSIA,4870.0,0.41,598046175.0,123242.0,20,,4890.0,4800.0,4852.62,,
2026-02-13,CELSIA,5060.0,3.9,1030390765.0,206972.0,190,,5090.0,4855.0,4978.41,,
2026-02-16,CELSIA,4910.0,-2.96,166302385.0,33801.0,-150,,4910.0,4910.0,4920.04,,
2026-02-17,CELSIA,4990.0,1.63,447761725.0,91052.0,80,,4990.0,4855.0,4917.65,,
2026-02-18,CELSIA,4975.0,-0.3,302845230.0,60928.0,-15,,4985.0,4950.0,4970.54,,
2026-02-19,CELSIA,4990.0,0.3,469518110.0,94205.0,15,,4990.0,4980.0,4984,,
2026-02-20,CELSIA,5080.0,1.8,2611666755.0,518485.0,90,,5080.0,4985.0,5037.11,,
2026-02-23,CELSIA,5060.0,-0.39,7578894250.0,1503428.0,-20,,5080.0,5040.0,5041.08,,
2026-02-24,CELSIA,5060.0,0,1424720560.0,282477.0,0,,5100.0,5040.0,5043.67,,
2026-02-25,CELSIA,5080.0,0.4,1228666520.0,242304.0,20,,5100.0,5040.0,5070.76,,
2026-02-26,CELSIA,5000.0,-1.57,7052375970.0,1399850.0,-80,,5080.0,4980.0,5037.95,,
2026-02-27,CELSIA,4835.0,-3.3,894853920.0,181679.0,-165,,4980.0,4835.0,4925.47,,
2026-03-02,CELSIA,4510.0,-6.72,917384135.0,192749.0,-325,,4840.0,4510.0,4759.48,,
2026-03-03,CELSIA,4900.0,8.65,1358524690.0,296945.0,390,,4900.0,4310.0,4575,,
2026-03-04,CELSIA,4700.0,-4.08,763164010.0,159215.0,-200,,4900.0,4700.0,4793.29,,
2026-03-05,CELSIA,4760.0,1.28,711791955.0,148018.0,60,,4890.0,4755.0,4808.82,,
2026-03-06,CELSIA,4870.0,2.31,770733730.0,159850.0,110,,4870.0,4745.0,4821.61,,
2026-03-09,CELSIA,4990.0,2.46,802447800.0,161932.0,120,,4990.0,4800.0,4955.46,,
2026-03-10,CELSIA,5010.0,0.4,872104120.0,174766.0,20,,5010.0,4975.0,4990.12,,
2026-03-11,CELSIA,5050.0,0.8,229929105.0,45465.0,40,,5090.0,5050.0,5057.28,,
2026-03-12,CELSIA,5000.0,-0.99,385631440.0,77385.0,-50,,5000.0,4965.0,4983.28,,
2026-03-13,CELSIA,4850.0,-3,916476160.0,185502.0,-150,,5000.0,4850.0,4940.52,,
2026-03-16,CELSIA,4915.0,1.34,233771165.0,47385.0,65,,4970.0,4905.0,4933.44,,
2026-03-17,CELSIA,4660.0,-5.19,2237024015.0,474027.0,-255,,4995.0,4660.0,4719.19,,
2026-03-18,CELSIA,4700.0,0.86,608572445.0,129034.0,40,,4785.0,4660.0,4716.37,,
2026-03-19,CELSIA,4500.0,-4.26,1431221245.0,313071.0,-200,,4680.0,4410.0,4571.55,,
2026-03-20,CELSIA,,4.89,1263351670.0,271513.0,220,,4720.0,4590.0,4653.01,,
2026-03-24,CELSIA,5040.0,17.21,21537529660.0,3970593.0,740,,6510.0,4900.0,5424.26,,
2026-03-25,CELSIA,5210.0,8.93,2624780990.0,487675.0,450,,5530.0,5000.0,5382.23,,
2026-03-26,CELSIA,5460.0,4.8,3459937500.0,637920.0,250,,5500.0,5300.0,5423.78,,
2026-03-27,CELSIA,5200.0,-4.76,3319350200.0,616679.0,-260,,5590.0,5200.0,5382.62,,
2026-03-30,CELSIA,5200.0,0,414707870.0,78855.0,0,,5350.0,5200.0,,,
2026-03-31,CELSIA,5300.0,1.92,414029670.0,78668.0,100,,5320.0,5200.0,,,
2026-04-01,CELSIA,5280.0,-0.38,704065080.0,131983.0,-20,,5380.0,5250.0,,,
2026-04-02,CELSIA,,,,,,,,,,,
2026-04-03,CELSIA,,,,,,,,,,,
2026-04-06,CELSIA,5480.0,3.79,1753198290.0,324002.0,200,,5490.0,5280.0,,,
2026-04-07,CELSIA,5490.0,0.18,991186020.0,181615.0,10,,5500.0,5390.0,,,
2026-04-08,CELSIA,5550.0,1.09,2453458070.0,443970.0,60,,5590.0,5480.0,,,
2026-04-09,CELSIA,5600.0,0.9,2392072340.0,428301.0,50,,5600.0,5550.0,,,
2026-04-10,CELSIA,5770.0,3.04,2268123490.0,397657.0,170,,5770.0,5590.0,,,
2026-04-13,CELSIA,5740.0,-0.52,3811279020.0,660818.0,-30,,5800.0,5710.0,,,
2026-04-14,CELSIA,5750.0,0.17,2762395850.0,477723.0,10,,5820.0,5740.0,,,
2026-04-15,CELSIA,5690.0,-1.04,2950111060.0,513479.0,-60,,5790.0,5690.0,,,
2026-04-16,CELSIA,5700.0,0.18,2763749500.0,484269.0,10,,5770.0,5680.0,,,
2026-04-17,CELSIA,5600.0,-1.75,1627296970.0,288121.0,-100,,5700.0,5600.0,,,
2026-04-20,CELSIA,5540.0,-1.07,1866224820.0,330886.0,-60,,5700.0,5540.0,,,
2026-04-21,CELSIA,5440.0,-1.81,1525439210.0,277562.0,-100,,5630.0,5320.0,,,
2026-04-22,CELSIA,5490.0,0.92,1069758120.0,195283.0,50,,5550.0,5400.0,,,
2026-04-23,CELSIA,5360.0,-2.37,815809520.0,149920.0,-130,,5570.0,5300.0,,,
2026-04-24,CELSIA,5240.0,-2.24,1173581960.0,219016.0,-120,,5480.0,5120.0,,,
2026-04-27,CELSIA,5200.0,-0.76,182491250.0,34870.0,-40,,5340.0,5190.0,,,
2026-04-28,CELSIA,5200.0,0,586547550.0,114142.0,0,,5420.0,5020.0,,,
2026-04-29,CELSIA,4950.0,-4.81,5182029355.0,1033111.0,-250,,5100.0,4950.0,,,
2026-04-30,CELSIA,4990.0,0.81,848509435.0,169902.0,40,,5040.0,4910.0,,,
2026-05-04,CELSIA,4980.0,-0.2,1029991080.0,206026.0,-10,,5090.0,4915.0,,,
2026-05-05,CELSIA,5020.0,0.8,2347643930.0,466674.0,40,,5100.0,4990.0,,,
2026-05-06,CELSIA,4950.0,-1.39,1281540950.0,255999.0,-70,,5090.0,4950.0,,,
2026-05-07,CELSIA,4900.0,-1.01,1429029840.0,288046.0,-50,,5000.0,4900.0,,,
2026-05-08,CELSIA,4850.0,-1.02,2244605840.0,461852.0,-50,,4950.0,4850.0,,,
2026-05-11,CELSIA,4900.0,1.03,1328942135.0,270992.0,50,,4970.0,4875.0,,,
2026-05-12,CELSIA,4830.0,-1.43,2128005685.0,437833.0,-70,,4990.0,4830.0,,,
2026-05-13,CELSIA,4960.0,2.69,875566000.0,178996.0,130,,4965.0,4805.0,,,
2026-05-14,CELSIA,5010.0,1.01,2235895085.0,445829.0,50,,5150.0,4960.0,,,
2026-05-15,CELSIA,4935.0,-1.5,1055903965.0,211804.0,-75,,5080.0,4800.0,,,
2026-05-18,CELSIA,,,,,,,,,,,
2026-05-19,CELSIA,4890.0,-0.91,770885045.0,156858.0,-45,,4940.0,4880.0,,,
2026-05-20,CELSIA,4740.0,-3.07,2006793160.0,419018.0,-150,,4900.0,4705.0,,,
2026-05-21,CELSIA,4810.0,1.48,1328660805.0,281043.0,70,,4895.0,4700.0,,,
2026-05-22,CELSIA,4740.0,-1.46,623231135.0,131399.0,-70,,4790.0,4720.0,,,
2026-05-25,CELSIA,4630.0,-2.32,1961943045.0,418033.0,-110,,4750.0,4630.0,,,
2026-05-26,CELSIA,4810.0,3.89,2384055680.0,502788.0,180,,4890.0,4650.0,,,
2026-05-27,CELSIA,4820.0,0.21,1539999975.0,317653.0,10,,4895.0,4740.0,,,
2026-05-28,CELSIA,4800.0,-0.41,864543125.0,179691.0,-20,,4860.0,4580.0,,,
2026-05-29,CELSIA,4630.0,-3.54,7639463310.0,1634931.0,-170,,4960.0,4630.0,,,
2026-06-01,CELSIA,4700.0,1.51,4687263730.0,982919.0,70,,4900.0,4685.0,,,
2026-06-02,CELSIA,4780.0,1.7,2133584835.0,443315.0,80,,4875.0,4725.0,,,
2026-06-03,CELSIA,4925.0,3.03,2701287140.0,553649.0,145,,4925.0,4800.0,,,
2026-06-04,CELSIA,4960.0,0.71,1630332645.0,328095.0,35,,5000.0,4880.0,,,
2026-06-05,CELSIA,4975.0,0.3,959023725.0,192588.0,15,,5000.0,4920.0,,,
2026-06-08,CELSIA,,,,,,,,,,,
2026-06-09,CELSIA,5300.0,6.53,3489225300.0,680750.0,325,,5300.0,4980.0,,,
2026-06-10,CELSIA,5170.0,-2.45,1188389350.0,228521.0,-130,,5280.0,5120.0,,,
2026-06-11,CELSIA,4950.0,-4.26,3605540450.0,717439.0,-220,,5260.0,4940.0,,,
2026-06-12,CELSIA,5200.0,5.05,4224231570.0,813709.0,250,,5270.0,5040.0,,,
2026-06-15,CELSIA,,,,,,,,,,,
2026-06-16,CELSIA,5100.0,-1.92,1360604390.0,262702.0,-100,,5300.0,5000.0,,,
2026-06-17,CELSIA,5260.0,3.14,2003388000.0,384251.0,160,,5280.0,5100.0,,,
2026-06-18,CELSIA,5190.0,-1.33,1082064930.0,206535.0,-70,,5290.0,5070.0,,,
2026-06-19,CELSIA,5200.0,0.19,1464465000.0,279563.0,10,,5300.0,5180.0,,,
2026-06-22,CELSIA,5090.0,-2.12,4188116780.0,819647.0,-110,,5380.0,5010.0,,,
2026-06-23,CELSIA,5080.0,-0.2,1124595730.0,222134.0,-10,,5130.0,5020.0,,,
2026-06-24,CELSIA,5090.0,0.2,1788952490.0,355738.0,10,,5090.0,4945.0,,,
2026-06-25,CELSIA,5000.0,-1.77,1579262995.0,313333.0,-90,,5140.0,4980.0,,,
2026-06-26,CELSIA,5070.0,1.4,998503085.0,199430.0,70,,5090.0,4970.0,,,
2026-06-30,CELSIA,5080.0,0.2,1239225225.0,245443.0,10,,5140.0,4985.0,,,
2026-07-01,CELSIA,5090.0,0.2,966117160.0,190699.0,10,,5110.0,4930.0,,,
2026-07-02,CELSIA,5020.0,-1.38,1325380110.0,260445.0,-70,,5140.0,5010.0,,,
2026-07-03,CELSIA,5040.0,0.4,696209520.0,136937.0,20,,5130.0,5040.0,,,
