Nemotécnico;Precios (último /cierre);Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2620;3,15;79139243880;30235575;80;2590;2645;2585;-;ECOPETROL;EQTY
PFCIBEST;71960;0,22;32308324560;450624;160;71800;72760;70880;-;Grupo Cibest S.A.;EQTY
PFGRUPOARG;12200;-;9624119700;788109;-;12200;12300;12120;-;GRUPO ARGOS;EQTY
PFGRUPSURA;42580;1,14;7493763900;176371;480;43460;43460;42100;-;GRUPO SURA;EQTY
CIBEST;84000;0,17;6552284880;78259;140;82100;84420;82100;-;Grupo Cibest S.A.;EQTY
ISA;28640;-3,5;5290509260;182733;-1040;28980;29700;28640;-;ISA INTERCONEXION ELECTRICA;EQTY
ICOLCAP;22994;0,48;4369878529;190375;109;23020;23020;22860;-;FONDO BURSATIL ISHARES COLCAP;EQTY
GRUPOARGOS;16480;-0,36;3697518520;224281;-60;16500;16860;16400;-;GRUPO ARGOS;EQTY
PEI;63000;2,31;2630393760;42342;1420;63200;63200;61800;-;PEI;EQTY
GRUPOSURA;52820;-0,75;1596763880;30139;-400;53080;53080;52820;-;GRUPO SURA;EQTY
GEB;2815;0,54;1511637650;535313;15;2815;2835;2810;-;GRUPO ENERGIA BOGOTA;EQTY
CORFICOLCF;19800;3,23;1234747460;63072;620;19400;19800;19360;-;CORFICOLOMBIANA;EQTY
CEMARGOS;10760;0,37;968567240;90006;40;10740;10780;10720;-;CEMENTOS ARGOS;EQTY
PFDAVIGRP;32000;0,95;838088780;26410;300;31660;32000;31640;-;Davivienda Group;EQTY
MINEROS;15800;-;518636360;33147;-;15320;15880;15320;-;MINEROS;EQTY
PFAVAL;793;-0,5;465833134;586626;-4;800;800;788;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
CELSIA;4875;-;286228815;58560;-;5040;5040;4825;-;CELSIA;EQTY
TIN;13480;-2,18;210733320;15586;-300;13800;13800;13360;-;TITULARIZADORA COLOMBIANA;EQTY
BOGOTA;37460;-0,05;168133680;4488;-20;37320;37500;37300;-;BANCO DE BOGOTA;EQTY
CONCONCRET;417;-0,71;161198206;385087;-3;415;420;415;-;CONCONCRETO S.A;EQTY
BHI;366;-1,61;149153688;406855;-6;366;368;365;-;BAC HOLDING INTERNATIONAL CORP;EQTY
TERPEL;17680;-;97957960;5544;-;17600;17980;17460;-;ORGANIZACION TERPEL;EQTY
NUTRESA;313920;0,01;54731980;174;20;313920;313920;313920;-;GRUPO NUTRESA;EQTY
EXITO;4530;-0,66;44187405;9770;-30;4500;4530;4500;-;EXITO;EQTY
PFCORFICOL;17760;-0,78;44176540;2491;-140;17800;17800;17720;-;CORFICOLOMBIANA;EQTY
BVC;15400;-2,41;43467720;2832;-380;15300;15400;15300;-;BOLSA DE VALORES DE COLOMBIA;EQTY
PROMIGAS;6500;0,46;42161620;6459;30;6670;6670;6500;-;PROMIGAS;EQTY
GRUPOAVAL;790;4,22;34032192;43170;32;790;790;790;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFDAVVNDA;23580;-1,67;27561940;1166;-400;23640;23640;23580;-;BANCO DAVIVIENDA;EQTY
HCOLSEL;25420;0,55;24435655;958;140;25420;25420;25420;-;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
GRUBOLIVAR;78640;0,05;22433700;286;40;78600;78640;78600;-;GRUPO BOLIVAR;EQTY
GXTESCOL;58600;-0,34;11492640;196;-200;58600;58600;58600;-;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
ELCONDOR;579;20,63;6664290;11510;99;579;579;579;-;EL CONDOR;EQTY
ETB;72;-;6516914,5;93052;-;72;72;72;-;ETB;EQTY
PFCEMARGOS;11640;-;2874020;252;-;11640;11640;11640;-;CEMENTOS ARGOS;EQTY
BBVACOL;200;-;1545180;7358;-;200;200;200;-;BBVA COLOMBIA;EQTY
ENKA;19,4;-;63637;3305;-;19,4;19,4;19,4;-;Enka de Colombia;EQTY
