Nemotécnico;Precios (último /cierre);Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2590,0;-0,58;37069436520;14209170;-15,0;2610,0;2640,0;2590,0;-;ECOPETROL;EQTY
PFCIBEST;69540,0;0,78;34162544700;488410;540,0;67980,0;70580,0;67980,0;-;Grupo Cibest S.A.;EQTY
ICOLCAP;22682,0;-1,11;19486791689,5;853317;-254,0;22935,0;22935,0;22682,0;-;FONDO BURSATIL ISHARES COLCAP;EQTY
CIBEST;81020,0;-2,53;4383208440;53414;-2100,0;81520,0;83100,0;81000,0;-;Grupo Cibest S.A.;EQTY
GRUPOARGOS;16300,0;0,87;2816697080;172873;140,0;16600,0;16600,0;16180,0;-;GRUPO ARGOS;EQTY
ISA;28740,0;-1,58;2604016620;90314;-460,0;29200,0;29200,0;28500,0;-;ISA INTERCONEXION ELECTRICA;EQTY
PFGRUPSURA;42960,0;-1,24;2175718740;51064;-540,0;43400,0;43480,0;42140,0;-;GRUPO SURA;EQTY
CEMARGOS;10820,0;0,93;2168627880;200994;100,0;10800,0;10880,0;10700,0;-;CEMENTOS ARGOS;EQTY
PFGRUPOARG;12300,0;0,82;1790388880;146787;100,0;12100,0;12300,0;12060,0;-;GRUPO ARGOS;EQTY
GEB;2850,0;0,53;1477732025;520516;15,0;2850,0;2860,0;2825,0;-;GRUPO ENERGIA BOGOTA;EQTY
MINEROS;15900,0;2,05;1111044140;70063;320,0;15160,0;16000,0;15160,0;-;MINEROS;EQTY
PFDAVIGRP;31300,0;0,0;869159200;27760;0,0;31400,0;31400,0;31300,0;-;Davivienda Group;EQTY
CELSIA;4950,0;-2,94;672560360;132588;-150,0;5110,0;5120,0;4950,0;-;CELSIA;EQTY
CORFICOLCF;19000,0;-2,56;650323840;33647;-500,0;19500,0;19800,0;19000,0;-;CORFICOLOMBIANA;EQTY
PEI;64500,0;0,06;610525640;9513;40,0;65000,0;65000,0;63020,0;-;PEI;EQTY
GRUPOSURA;53540,0;1,02;514868280;9656;540,0;52840,0;53580,0;52840,0;-;GRUPO SURA;EQTY
PFAVAL;787,0;-0,76;493016582;621636;-6,0;792,0;805,0;787,0;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
TERPEL;17860,0;-0,11;287817200;16027;-20,0;17520,0;18000,0;17520,0;-;ORGANIZACION TERPEL;EQTY
TIN;13940,0;1,31;173051500;12424;180,0;13900,0;13980,0;13900,0;-;TITULARIZADORA COLOMBIANA;EQTY
PFCORFICOL;17540,0;-2,34;158829860;9023;-420,0;17540,0;18000,0;17540,0;-;CORFICOLOMBIANA;EQTY
BHI;375,0;-1,32;131262393;349186;-5,0;377,0;379,0;374,0;-;BAC HOLDING INTERNATIONAL CORP;EQTY
BOGOTA;37100,0;-0,91;108774060;2922;-340,0;37400,0;37780,0;37100,0;-;BANCO DE BOGOTA;EQTY
EXITO;4550,0;0,44;97764745;21438;20,0;4550,0;4600,0;4535,0;-;EXITO;EQTY
PROMIGAS;6510,0;-0,61;94101460;14416;-40,0;6550,0;6550,0;6480,0;-;PROMIGAS;EQTY
GRUBOLIVAR;79500,0;-0,1;55438360;701;-80,0;79020,0;79500,0;79020,0;-;GRUPO BOLIVAR;EQTY
NUTRESA;312000,0;-0,1;37121260;119;-320,0;305000,0;312000,0;305000,0;-;GRUPO NUTRESA;EQTY
CONCONCRET;425,0;0,71;36258184;86087;3,0;419,0;425,0;419,0;-;CONCONCRETO S.A;EQTY
GRUPOAVAL;799,0;1,14;32471257;41078;9,0;780,0;799,0;780,0;-;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFDAVVNDA;24180,0;0,67;28923440;1216;160,0;23240,0;24180,0;23240,0;-;BANCO DAVIVIENDA;EQTY
GXTESCOL;58400,0;-2,41;20843192;357;-1440,0;58400,0;58400,0;58400,0;-;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
OCCIDENTE;20500,0;-;16584500;809;0,0;20500,0;20500,0;20500,0;-;BANCO DE OCCIDENTE;EQTY
ENKA;19,4;-;10495997,2;548578;0,0;19,4;19,4;19,4;-;Enka de Colombia;EQTY
PFCEMARGOS;11660,0;-;10151540;925;0,0;11660,0;11660,0;11660,0;-;CEMENTOS ARGOS;EQTY
BVC;15840,0;-;8272740;529;0,0;15840,0;15840,0;15840,0;-;BOLSA DE VALORES DE COLOMBIA;EQTY
ETB;68,5;5,38;5118928,5;74922;3,5;68,5;68,5;68,5;-;ETB;EQTY
HCOLSEL;26232,5;-;1952361;78;0,0;26232,5;26232,5;26232,5;-;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
POPULAR;135,0;-;135000;1000;0,0;135,0;135,0;135,0;-;BANCO POPULAR;EQTY
